trips,timestamp
420,2019-09-27 21:00:00.000000 +02:00
348,2019-09-27 22:00:00.000000 +02:00
312,2019-09-27 23:00:00.000000 +02:00
207,2019-09-28 00:00:00.000000 +02:00
181,2019-09-28 01:00:00.000000 +02:00
120,2019-09-28 02:00:00.000000 +02:00
95,2019-09-28 03:00:00.000000 +02:00
65,2019-09-28 04:00:00.000000 +02:00
68,2019-09-28 05:00:00.000000 +02:00
50,2019-09-28 06:00:00.000000 +02:00
121,2019-09-28 07:00:00.000000 +02:00
191,2019-09-28 08:00:00.000000 +02:00
307,2019-09-28 09:00:00.000000 +02:00
330,2019-09-28 10:00:00.000000 +02:00
606,2019-09-28 11:00:00.000000 +02:00
832,2019-09-28 12:00:00.000000 +02:00
701,2019-09-28 13:00:00.000000 +02:00
978,2019-09-28 14:00:00.000000 +02:00
591,2019-09-28 15:00:00.000000 +02:00
760,2019-09-28 16:00:00.000000 +02:00
887,2019-09-28 17:00:00.000000 +02:00
782,2019-09-28 18:00:00.000000 +02:00
583,2019-09-28 19:00:00.000000 +02:00
483,2019-09-28 20:00:00.000000 +02:00
423,2019-09-28 21:00:00.000000 +02:00
330,2019-09-28 22:00:00.000000 +02:00
310,2019-09-28 23:00:00.000000 +02:00
225,2019-09-29 00:00:00.000000 +02:00
214,2019-09-29 01:00:00.000000 +02:00
159,2019-09-29 02:00:00.000000 +02:00
133,2019-09-29 03:00:00.000000 +02:00
83,2019-09-29 04:00:00.000000 +02:00
74,2019-09-29 05:00:00.000000 +02:00
86,2019-09-29 06:00:00.000000 +02:00
167,2019-09-29 07:00:00.000000 +02:00
273,2019-09-29 08:00:00.000000 +02:00
364,2019-09-29 09:00:00.000000 +02:00
482,2019-09-29 10:00:00.000000 +02:00
511,2019-09-29 11:00:00.000000 +02:00
218,2019-09-29 12:00:00.000000 +02:00
359,2019-09-29 13:00:00.000000 +02:00
330,2019-09-29 14:00:00.000000 +02:00
407,2019-09-29 15:00:00.000000 +02:00
418,2019-09-29 16:00:00.000000 +02:00
509,2019-09-29 17:00:00.000000 +02:00
423,2019-09-29 18:00:00.000000 +02:00
375,2019-09-29 19:00:00.000000 +02:00
317,2019-09-29 20:00:00.000000 +02:00
194,2019-09-29 21:00:00.000000 +02:00
206,2019-09-29 22:00:00.000000 +02:00
138,2019-09-29 23:00:00.000000 +02:00
85,2019-09-30 00:00:00.000000 +02:00
53,2019-09-30 01:00:00.000000 +02:00
34,2019-09-30 02:00:00.000000 +02:00
17,2019-09-30 03:00:00.000000 +02:00
11,2019-09-30 04:00:00.000000 +02:00
21,2019-09-30 05:00:00.000000 +02:00
41,2019-09-30 06:00:00.000000 +02:00
178,2019-09-30 07:00:00.000000 +02:00
308,2019-09-30 08:00:00.000000 +02:00
264,2019-09-30 09:00:00.000000 +02:00
116,2019-09-30 10:00:00.000000 +02:00
216,2019-09-30 11:00:00.000000 +02:00
288,2019-09-30 12:00:00.000000 +02:00
328,2019-09-30 13:00:00.000000 +02:00
370,2019-09-30 14:00:00.000000 +02:00
549,2019-09-30 15:00:00.000000 +02:00
595,2019-09-30 16:00:00.000000 +02:00
739,2019-09-30 17:00:00.000000 +02:00
899,2019-09-30 18:00:00.000000 +02:00
667,2019-09-30 19:00:00.000000 +02:00
503,2019-09-30 20:00:00.000000 +02:00
352,2019-09-30 21:00:00.000000 +02:00
322,2019-09-30 22:00:00.000000 +02:00
187,2019-09-30 23:00:00.000000 +02:00
131,2019-10-01 00:00:00.000000 +02:00
90,2019-10-01 01:00:00.000000 +02:00
42,2019-10-01 02:00:00.000000 +02:00
28,2019-10-01 03:00:00.000000 +02:00
10,2019-10-01 04:00:00.000000 +02:00
27,2019-10-01 05:00:00.000000 +02:00
48,2019-10-01 06:00:00.000000 +02:00
219,2019-10-01 07:00:00.000000 +02:00
294,2019-10-01 08:00:00.000000 +02:00
327,2019-10-01 09:00:00.000000 +02:00
290,2019-10-01 10:00:00.000000 +02:00
336,2019-10-01 11:00:00.000000 +02:00
359,2019-10-01 12:00:00.000000 +02:00
233,2019-10-01 13:00:00.000000 +02:00
268,2019-10-01 14:00:00.000000 +02:00
503,2019-10-01 15:00:00.000000 +02:00
685,2019-10-01 16:00:00.000000 +02:00
1034,2019-10-01 17:00:00.000000 +02:00
1202,2019-10-01 18:00:00.000000 +02:00
895,2019-10-01 19:00:00.000000 +02:00
611,2019-10-01 20:00:00.000000 +02:00
452,2019-10-01 21:00:00.000000 +02:00
365,2019-10-01 22:00:00.000000 +02:00
266,2019-10-01 23:00:00.000000 +02:00
187,2019-10-02 00:00:00.000000 +02:00
